                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1209,                 3.4621,                  1.354,                 1.2946,                 6.4364,                 1.2988,                0.11712,                0.09242,                0.05675,                 0.0307,                 1.2812,                  5.015,                  1.388,                 1.2904,                 8.8926,                 1.3138,             0.00020006,             0.00020006,             0.00020006
                      2,                  1.311,                 2.6305,                 1.3957,                 1.3969,                 4.4992,                 1.3256,                0.04953,                0.09222,                0.03938,                0.01951,                 1.6983,                 6.4512,                  1.821,                 1.5911,                 6.1358,                 1.5386,             0.00041031,             0.00041031,             0.00041031
                      3,                 1.4801,                 2.7668,                 1.6037,                 1.5106,                 4.0569,                 1.5198,                0.04592,                0.02564,                0.01441,                0.00927,                 1.9139,                 47.311,                 2.2304,                 1.7302,                  120.7,                 1.7669,             0.00061631,             0.00061631,             0.00061631
                      4,                 1.7836,                 3.0754,                 1.7613,                 1.8003,                 3.8526,                 1.5823,                0.00573,                 0.0641,                0.00507,                0.00239,                  2.253,                 247.79,                 2.5173,                 2.1153,                 31.836,                 1.9531,             0.00081807,             0.00081807,             0.00081807
                      5,                 1.7308,                  2.825,                 1.7259,                  1.847,                 3.4373,                 1.5435,                0.03459,                 0.0576,                0.00928,                0.00313,                 2.4792,                 303.87,                 3.7227,                 2.4765,                 29.936,                 3.1545,              0.0010156,              0.0010156,              0.0010156
                      6,                  1.745,                 2.9411,                 1.7433,                 1.8444,                 3.5945,                 1.6483,                0.00672,                0.06908,                0.00167,                0.00059,                 2.7912,                 2864.3,                 7.9878,                 2.5326,                 626.99,                 3.9701,              0.0012089,              0.0012089,              0.0012089
                      7,                 1.8126,                 2.9594,                 1.7907,                  1.975,                 3.5451,                 1.7317,                0.00283,                0.17956,                0.00182,                0.00068,                 3.4066,                 1569.6,                 18.755,                 2.8819,                 613.61,                 11.202,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.6846,                  2.905,                 1.7367,                 1.8875,                 3.5875,                 1.6959,                0.00503,                0.07405,                0.00254,                0.00139,                 2.7675,                  330.9,                 6.7793,                 2.8905,                 1097.2,                 4.9041,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.6428,                  2.861,                 1.7147,                 1.7734,                 3.6311,                 1.6201,                 0.0073,                0.08768,                0.00139,                0.00085,                 2.5187,                 134.87,                 2.9322,                 2.3699,                 112.33,                 2.4217,                0.00133,                0.00133,                0.00133
                     10,                 1.7182,                 2.7914,                 1.7293,                 1.9046,                 3.3156,                 1.6198,                0.00809,                0.17496,                0.00455,                0.00155,                 2.9703,                 1104.4,                 21.735,                  2.661,                   1206,                 10.706,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.6493,                 2.8295,                 1.7063,                 1.8375,                 3.1489,                 1.6322,                0.00503,                0.22831,                0.00311,                0.00107,                 2.9378,                 176.98,                 5.2578,                 2.6383,                 69.677,                 3.5767,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.7135,                 2.6118,                 1.7579,                 1.9472,                 3.1397,                 1.7123,                0.00431,                0.02855,                0.00178,                0.00095,                  2.717,                 78.533,                 4.1719,                 2.5648,                 13.288,                 3.0501,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.6881,                 2.8295,                 1.7493,                  1.818,                 3.3949,                 1.6638,                0.34042,                0.02564,                0.00555,                0.00292,                 2.2502,                  17.13,                 2.7468,                 2.1177,                 9.1698,                 2.4193,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.6613,                 2.6848,                 1.6607,                 1.8986,                 3.1812,                 1.5615,                0.01127,                0.16046,                0.00926,                0.00418,                 2.3603,                 13.934,                 2.7048,                  2.163,                 14.106,                 2.2058,              0.0012592,              0.0012592,              0.0012592
                     15,                  1.838,                 2.8332,                 1.7883,                  1.946,                 3.3236,                 1.6554,                0.01435,                0.07692,                0.01088,                0.00474,                 2.5822,                 13.414,                 2.5344,                  2.445,                 14.716,                 2.2026,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.7445,                 2.7457,                 1.7532,                 1.8753,                 3.2267,                 1.6364,                0.01172,                0.00498,                0.00257,                0.00089,                 3.1452,                 18.129,                 3.2065,                 2.9262,                 14.751,                 2.7968,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.7408,                 2.5227,                 1.6889,                 1.9839,                 3.0269,                 1.5922,                0.03227,                0.05212,                0.01686,                0.01083,                 2.7993,                 9.0742,                 2.7007,                 2.7494,                 10.361,                 2.4268,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.6163,                 2.5189,                  1.662,                  1.886,                 2.9821,                 1.6241,                 0.3796,                0.04715,                0.01372,                0.00822,                 2.2162,                 9.7797,                 2.2457,                 2.2561,                 9.9666,                 2.0041,              0.0012026,              0.0012026,              0.0012026
